id	slope	elevation	tpi	twi	coarse	stream
155	2.834123	500.3185	27.53109	1.149828	11.825	71.5127
156	4.360645	510.4696	19.50959	0.430453	13.02899	47.9844
157	3.485278	491.542	28.93153	1.356841	11.36765	81.465
158	5.644784	327.492	22.38552	0.502841	9.910714	63.9051
159	3.781752	651.3408	27.04364	0.073012	12.5641	52.7707
160	4.659138	614.8313	16.81809	0.298559	14.05514	69.7039
161	4.167498	661.5893	23.54962	-0.08801	14.08791	43.2759
162	6.352985	516.8671	16.77556	-0.04416	13.98086	61.7855
163	4.872513	505.5422	18.1778	0.154391	13.37466	69.8921
164	4.497382	538.4822	22.10114	0.351818	13.9661	61.9329
165	4.013443	544.6344	23.13629	0.360936	13.84257	65.713
166	3.998549	528.4135	20.97918	0.37473	13.45455	59.0217
167	6.159105	503.5008	18.40144	0.373714	13.32787	57.1742
168	3.842177	537.93	21.441	0.158904	13.70714	42.4189
169	4.950301	519.9171	19.18588	0.293683	13	76.8372
170	2.54176	526.4913	22.65416	0.241541	12.25806	44.471
171	3.141495	526.6391	31.41274	0.481436	12.35714	31.2396
172	5.280955	487.8282	15.17811	0.52606	13.04545	85.2702
173	4.401959	482.2547	22.39166	0.510472	14.13333	78.8198
174	7.1069	530.1516	13.01042	-0.33894	14.4492	67.3048
175	8.579406	460.6364	13.46148	0.371578	14.46988	85.6641
176	3.502151	446.0666	22.15951	0.645516	9.747292	59.9185
177	4.115518	454.3696	19.99863	0.17291	11.38017	58.4756
178	3.671078	464.4526	21.89782	0.97522	11.02586	74.9597
179	3.090829	614.6118	29.89026	-0.08783	12.81818	0.0463
180	11.3254	550.3141	13.56337	0.377217	15.62288	77.5954
181	13.02796	592.6625	9.917634	-0.74466	15.84545	57.8372
182	9.903653	637.5259	11.54654	-1.21368	15.21849	38.0406
183	3.175723	411.2304	28.62827	0.834647	10.44828	67.9354
184	3.845235	432.6175	26.79344	0.390534	12.23077	37.6524
185	1.745742	218.1898	29.02137	1.315525	7.286996	45.0284
186	9.09778	689.8264	7.171513	-1.00337	15.44318	19.4058
187	4.027016	500.5616	21.73134	0.248024	12.66667	54.5537
188	5.014953	522.3843	15.00623	-0.36328	13.32836	42.017
189	7.774141	501.9123	10.2343	-0.25781	14.17391	69.7607
190	5.671642	508.0101	20.73908	-0.03534	12.69643	70.6738
191	7.732329	516.7413	16.84642	-0.01889	13.33929	59.3088
192	1.924622	227.3871	34.23001	1.275362	7.958333	36.5461
193	3.95869	494.961	19.15633	0.203372	11.93802	38.0769
194	4.199135	442.9287	21.31249	0.940976	11.62585	57.4613
195	3.602155	645.8309	24.8774	0.481824	12.67378	55.2655
196	3.773455	494.125	21.13772	0.461177	12.81553	50.1068
197	5.22722	574.6501	18.94897	-0.06392	13.71837	53.1911
198	6.219699	474.1758	14.48943	0.169043	14.27083	96.1891
199	5.546883	509.9789	20.06577	-0.17245	13.35443	56.571
200	3.565052	278.5461	25.18843	0.756239	9.289474	50.2401
201	5.491018	590.5342	14.21724	0.248914	14.86986	82.828
202	4.17167	655.4224	22.37542	-0.26415	15.31892	10.6267
203	4.247128	489.1595	24.2851	0.851408	12.05161	82.399
204	4.725541	643.8032	23.97815	0.395016	13.69231	59.8973
205	4.423102	657.404	21.95051	-0.09357	12.82143	24.5948
206	4.014645	555.9446	21.19322	0.272554	13.38494	57.0532
207	4.897687	630.9548	14.95976	-0.4284	14.89916	25.2923
208	5.279563	533.7073	17.47503	0.18759	14.43956	60.8807
209	5.601765	560.8613	14.4123	-0.11417	14.97222	54.5296
210	2.881933	492.7207	28.73613	1.020928	10.95385	86.2101
